
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100

//Trader 0
<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables							// Category Name
		CaninaBerry,			*,		1,		-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,			*,		1,		-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		1,		-1	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		1,		-1	// Sellvalue -1 means it can not be selled
		CivSedanHood_BlackRust,				*,		400,	140
		CivSedanTrunk,						*,		450,	150
		CivSedanTrunk_Wine,					*,		450,	150
		CivSedanTrunk_Black,				*,		450,	150
		CivSedanTrunk_WhiteRust,			*,		450,	150
		CivSedanTrunk_WineRust,				*,		450,	150
		CivSedanTrunk_BlackRust,			*,		450,	150
		CivSedanDoors_Driver,				*,		500,	180
		CivSedanDoors_Driver_Wine,			*,		500,	180
		CivSedanDoors_Driver_Black,			*,		500,	180
		CivSedanDoors_Driver_WhiteRust,		*,		500,	180
		CivSedanDoors_Driver_WineRust,		*,		500,	180
		CivSedanDoors_Driver_BlackRust,		*,		500,	180
		CivSedanDoors_CoDriver,				*,		500,	180
		CivSedanDoors_CoDriver_Wine,		*,		500,	180
		CivSedanDoors_CoDriver_Black,		*,		500,	180
		CivSedanDoors_CoDriver_WhiteRust,	*,		500,	180
		CivSedanDoors_CoDriver_WineRust,	*,		500,	180
		CivSedanDoors_CoDriver_BlackRust,	*,		500,	180
		CivSedanDoors_BackLeft,				*,		500,	180
		CivSedanDoors_BackLeft_Wine,		*,		500,	180
		CivSedanDoors_BackLeft_Black,		*,		500,	180
		CivSedanDoors_BackLeft_WhiteRust,	*,		500,	180
		CivSedanDoors_BackLeft_WineRust,	*,		500,	180
		CivSedanDoors_BackLeft_BlackRust,	*,		500,	180
		CivSedanDoors_BackRight,			*,		500,	180
		CivSedanDoors_BackRight_Wine,		*,		500,	180
		CivSedanDoors_BackRight_Black,		*,		500,	180
		CivSedanDoors_BackRight_WhiteRust,	*,		500,	180
		CivSedanDoors_BackRight_WineRust,	*,		500,	180
		CivSedanDoors_BackRight_BlackRust,	*,		500,	180
		CivSedanWheel,						*,		600,	120
	
        ExpansionTractorFrontWheel,         *,		450,	160
        ExpansionTractorBackWheel,          *,		450,	160
        ExpansionTractorDoorsDriver,        *,		500,	160
        ExpansionTractorDoorsCodriver,      *,		500,	160
        ExpansionWheel,                     *,		450,	160
        ExpansionUAZWheel,                  *,		450,	160
        ExpansionUAZDoorDriver,             *,		450,	160
        ExpansionUAZDoorCoDriver,           *,		450,	160
        ExpansionUAZDoorCargo1,             *,		450,	160
        ExpansionUAZDoorCargo2,             *,		450,	160
        ExpansionUAZDoorTrunk,              *,		450,	160
        Expansion_HatchbackDoors_Driver,    *,		450,	160
        Expansion_HatchbackDoors_CoDriver,  *,		450,	160
        Expansion_HatchbackHood,            *,		450,	160
        Expansion_HatchbackTrunk,           *,		450,	160
        ExpansionCivSedanWheel,             *,		450,	160
        Expansion_CivSedanDoors_Driver,     *,		450,	160
        Expansion_CivSedanDoors_CoDriver,   *,		450,	160
        Expansion_CivSedanDoors_BackLeft,   *,		450,	160
        Expansion_CivSedanDoors_BackRight,  *,		450,	160
        Expansion_CivSedanHood,             *,		450,	160
        ExpansionCivSedanTrunk,             *,		450,	160
        Expansion_Hatchback_02_Door_1_1,    *,		450,	160
        Expansion_Hatchback_02_Door_2_1,    *,		450,	160
        Expansion_Hatchback_02_Door_1_2,    *,		450,	160
        Expansion_Hatchback_02_Door_2_2,    *,		450,	160
        Expansion_Hatchback_02_Hood,        *,		450,	160
        Expansion_Hatchback_02_Trunk,       *,		450,	160
        Expansion_Sedan_02_Door_1_1,        *,		450,	160
        Expansion_Sedan_02_Door_2_1,        *,		450,	160
        Expansion_Sedan_02_Door_1_2,        *,		450,	160
        Expansion_Sedan_02_Door_2_2,        *,		450,	160
        Expansion_Sedan_02_Hood,            *,		450,	160
        Expansion_Sedan_02_Trunk,           *,		450,	160
        ExpansionVodnikWheel,               *,		1000,	100
        ExpansionVodnikDoorDriver,          *,		2000,	200
        ExpansionVodnikDoorCoDriver,         *,		2000,	200
		
	<Category> Keys
		VehicleKeyDuplicate,	K,		2000,	-1 		// The choosen Classname here only gets displayed in the UI (Name/Description); Make Sure SellValue is set to -1

// Trader 6 
<Trader> Aircraft Trader

       <Category> Helicopters 
        ExpansionUh1h, V, 60000, -1
        ExpansionMh6, V, 50000, -1
        ExpansionMerlin, v, 75000, -1
        ExpansionGyrocopter, V, 15000, -1

       <Category> Helicopter Parts
        ExpansionHelicopterBattery, *, 4000, 2000
        CarRadiator, *, 500, 250
        SparkPlug, *, 1500, 125
        HeadlightH7, *, 75, 30
        ExpansionHydraulicHoses, *, 1000, 150
        ExpansionIgniterPlug, *, 1000, 250		
	
// Trader 7
<Trader> Drug Dealer
		
		<Category> Money Makers
       
        Tobacco ,                                *,     	   50,       100
	    CigarettePack_Cannabis,             	*,     	   1000,       250
        CigarettePack_Chernamorka,          	*,          250,        250
        CigarettePack_Merkur,              		*,          250,        250
        CigarettePack_Partyzanka,              	*,          250,        250
		CannabisBag,							*,	  	      800,	  400
		CannabisBrick,							*,            10000,	  7500
        CannabisBagKush,							*,	  	  1150,	  575
		CannabisBrickKush,							*,        13000 ,	  10000
        CannabisBagBlue,							*,	  	  700 ,	  600
		CannabisBrickBlue,							*,        16000 ,	  12500
        CannabisSeedsPack,                           *,        800 ,	  400
		CannabisSeedsPackKush,                       *,        1150 ,	  600
		CannabisSeedsPackBlue,                       *,        1400,	      800
		
// Trader 8
<Trader> Weapon Trader
		
			<Category> Melee	
		BrassKnuckles_Shiny,	W,		15,		6
		StunBaton,				W,		15,		9
		Pipe,					W,		25,		10
		CattleProd,				W,		25,		15
		BaseballBat,			W,		35,		17
		NailedBaseballBat,		W,		45,		20	
		Msp_VorpalKnife,									W,      1000,   	100
		Msp_GoodNightBat,									W,      5000,    	250
		Msp_BeanBasher,										W,      5000,    	250
		Msp_PipeAxe,										W,      5000,    	250
		Msp_PlainBat,										W,      5000,    	250
		Msp_PlainBat_Blue,									W,      5000,    	250
		Msp_PlainBat_Black,									W,      5000,    	250
		Msp_BlunderBat,										W,      5000,    	250
		Msp_BassAxe,										W,      5000,    	250
		
	<Category> Sidearms
		MakarovIJ70,			W,		100,	50
		CZ75,					W,		135,	70
		FNX45,					W,		175,	90
		Glock19,				W,		300,	100
		MKII,					W,		320,	120
		Colt1911,				W,		340,	100
		Engraved1911,			W,		380,	180
		
	<Category> Rifles
		Izh18,					W,		350,	175
		Mosin9130,				W,		1200,	350
		CZ527,					W,		650,	150
		Winchester70,			W,		1000,	250
		SKS,					W,		-1,	300
		
	<Category> Shotguns
		Mp133Shotgun,			W,		500,	250
		Izh43Shotgun,			W,		900,	100
		Saiga,					W,		1500,	600
		
	<Category> Submachine Guns
		CZ61,					W,		600,	100
		UMP45,					W,		750,	150
		MP5K,					W,		800,	250	
		AKS74U,					W,		-1,	275
		
	<Category> Assault Rifles
		FAL,					W,		-1,	350
		AKM,					W,		-1,	250
		AK101,					W,		-1,	250
		AK74,					W,		-1,	250
		M4A1,					W,		-1,	350
		
	<Category> SQUAD MSF-C Weapons
		MSFC_OSV96,	W,		            -1,		500
		MSFC_PP19_Vityaz,	W,		    -1,		250
		MSFC_L96A1_Green,	W,		    -1,		450
		MSFC_MSBS,	W,		2000,		-1,
		MSFC_Barret50BMG_Beige,	W,		-1,		500
		MSFC_Barret50BMG_Green,	W,		-1,		500
		MSFC_Barret50BMG_Desert,	W,	-1,		500
		MSFC_Barret50BMG_Black,	W,		-1,		500
		MSFC_AR15_9mm_Desert,	W,		-1,		200
		MSFC_AR15_9mm_Black,	W,		-1,		200
		MSFC_AR15_9mm_Green,	W,		-1,		200
		MSFC_P250,	W,		350,		-1,
		MSFC_ORSIS_T5000,	W,		    -1,		500
		MSFC_ORSIS_T5000_Green,	W,		-1,		500
		MSFC_ORSIS_T5000_Desert,	W,	-1,		500
		MSFC_VPO136,	W,		        -1,		150
		MSFC_Vepr15,	W,		        -1,		200
		MSFC_SaigaMK223Rem,	W,		    -1,		700
		MSFC_Tigr308,	W,		        -1,		275
		MSFC_AKCR2019,	W,		        -1,		2000
		MSFC_AK15M,	W,		            -1,		350
		MSFC_AK12M,	W,		            -1,		350
		MSFC_AK13M,	W,		            -1,		350
		MSFC_RPK74,	W,		            -1,		600	
		MSFC_TacAR15,	W,		        -1,		350
		MSFC_AR15,	W,		            -1,		350		
		MSFC_Mossberg590,	W,		    -1,		300
		MSFC_BlackEagleII,	W,		    -1,		300
		MSFC_M16A4,	W,		            -1,		350
		MSFC_TacAR15_SBR,	W,		    -1,		400
		MSFC_AS_VAL,	W,		        -1,		200
		MSFC_AK_ALFA,	W,		        -1,		200
		MSFC_HK416,	W,		            -1,		300
		MSFC_AK15,	W,		            -1,		300
		MSFC_AK103,	W,		            -1,		300
		MSFC_SCAR17,	W,		        -1,		350
		MSFC_RPK,	W,		            -1,		500
		MSFC_AKM_Tan,	W,		        -1,		300
		MSFC_AKM_Green,	W,		        -1,		300
		MSFC_AKM_SURPAT_Tan,	W,		-1,		300
		MSFC_AKM_Black,	W,		        -1,		300
		MSFC_AKM_White,	W,		        -1,		300
		MSFC_AKM_Gray,	W,		        -1,		300
		MSFC_AKM_Golden,	W,		    -1,		300
		MSFC_AKM_ATACS_FG,	W,		    -1,		300
		MSFC_AKM_HELL,	W,		        -1,		300
		MSFC_M4A1_White,	W,		    -1,		300
		MSFC_M4A1_ATACS_FG,	W,		    -1,		300
		MSFC_M4A1_SURPAT_TAN,	W,		-1,		300
		MSFC_AKM_BLUE,	W,		        -1,		300
		MSFC_AKM_EMR,	W,		        -1,		300
		MSFC_AKM_Flecktarn,	W,		    -1,		300
		MSFC_AKM_HEX,	W,		        -1,		300
		MSFC_AKM_MARPAT_WD,	W,		    -1,		300
		MSFC_AKM_Multicam,	W,		    -1,		300
		MSFC_AKM_MulticamBlack,	W,		-1,		300
		MSFC_AKM_MulticamTropic,	W,  -1,		300
		MSFC_AKM_SNAKE,	W,		        -1,		300
		MSFC_AKM_SNAKE_GREEN,	W,		-1,		300
		MSFC_AKM_SURPAT,	W,		    -1,		300
		MSFC_AKM_ViperWestern,	W,		-1,		300
		MSFC_AKM_WOODLAND,	W,		    -1,		300
		MSFC_M4A1_BLUE,	W,		        -1,		300
		MSFC_M4A1_EMR,	W,		        -1,		300
		MSFC_M4A1_Flecktarn,	W,		-1,		300
		MSFC_M4A1_HEX,	W,		        -1,		300
		MSFC_M4A1_MARPAT_WD,	W,		-1,		300
		MSFC_M4A1_Multicam,	W,		    -1,		300
		MSFC_M4A1_MulticamBlack,	W,	-1,		300
		MSFC_M4A1_MulticamTropic,	W,	-1,		300
		MSFC_M4A1_SNAKE,	W,		    -1,		300
		MSFC_M4A1_SNAKE_GREEN,	W,		-1,		300
		MSFC_M4A1_SURPAT,	W,		    -1,		300
		MSFC_M4A1_ViperWestern,	W,		-1,		300
		MSFC_M4A1_WOODLAND,	W,		    -1,		300
		MSFC_AKM_ATACS_AU,	W,		    -1,		300
		MSFC_M4A1_ATACS_AU,	W,		    -1,		300
		MSFC_UMP_WHITE,	W,		        -1,		200
		MSFC_UMP_ATACS_AU,	W,		    -1,		200
		MSFC_UMP_ATACS_FG,	W,		    -1,		200
		MSFC_UMP_BLUE,	W,		        -1,		200
		MSFC_UMP_EMR,	W,		        -1,		200
		MSFC_UMP_Flecktarn,	W,		    -1,		200
		MSFC_UMP_HEX,	W,		        -1,		200
		MSFC_UMP_MARPAT_WD,	W,		    -1,		200
		MSFC_UMP_MULTICAM,	W,		    -1,		200
		MSFC_UMP_MULTICAM_BLACK,	W,	-1,		200
		MSFC_UMP_MULTICAM_TROPIC,	W,	-1,		200
		MSFC_UMP_SNAKE,	W,		        -1,	200
		MSFC_UMP_SNAKE_GREEN,	W,		-1,		200
		MSFC_UMP_SURPAT,	W,		    -1,		200
		MSFC_UMP_VIPER_WESTERN,	W,		-1,		200
		MSFC_UMP_Woodland,	W,		    -1,		200
		MSFC_UMP_SURPAT_TAN,	W,		-1,		200
		MSFC_AKM_ORANGE,	W,		    -1,		200
		MSFC_AKM_RED,	W,		        -1,		300
		MSFC_AKM_DARK,	W,		        -1,		300
		MSFC_AKM_MATRIX,	W,		    -1,		300
		MSFC_AKM_REDBLACKWHITE,	W,		-1,		300
		MSFC_AKM_Honeycomb,	W,		    -1,		300
		MSFC_AKM_STAR,	W,		        -1,		300
		MSFC_M4A1_ORANGE,	W,		    -1,		300
		MSFC_M4A1_RED,	W,		        -1,		350
		MSFC_M4A1_DARK,	W,		        -1,		350
		MSFC_M4A1_MATRIX,	W,		    -1,		350
		MSFC_M4A1_REDBLACKWHITE,	W,	-1,		350
		MSFC_M4A1_Honeycomb,	W,		-1,		350
		MSFC_M4A1_STAR,	W,		        -1,		350
		MSFC_UMP_ORANGE,	W,		    -1,		1500
		MSFC_UMP_RED,	W,		        -1,		200
		MSFC_UMP_DARK,	W,		        -1,		200
		MSFC_UMP_MATRIX,	W,		    -1,		200
		MSFC_UMP_REDBLACKWHITE,	W,		-1,		200
		MSFC_UMP_Honeycomb,	W,		    -1,		200
		MSFC_UMP_STAR,	W,		        -1,		200
		MSFC_MP5K_WHITE,	W,		-1,	200
		MSFC_MP5K_ATACS_AU,	W,		-1,	200
		MSFC_MP5K_ATACS_FG,	W,		-1,	200
		MSFC_MP5K_BLUE,	W,		    -1,	200
		MSFC_MP5K_EMR,	W,		    -1,	200
		MSFC_MP5K_Flecktarn,	W,	-1,	200
		MSFC_MP5K_HEX,	W,		    -1,	200
		MSFC_MP5K_MARPAT_WD,	W,	-1,	200
		MSFC_MP5K_MULTICAM          -1,	200
		MSFC_MP5K_MULTICAM_BLACK,	W,		-1,		200
		MSFC_MP5K_MULTICAM_TROPIC,	W,		-1,		200
		MSFC_MP5K_SNAKE,	W,		-1,		200
		MSFC_MP5K_SNAKE_GREEN,	W,		-1,		200
		MSFC_MP5K_SURPAT,	W,		-1,		200
		MSFC_MP5K_VIPER_WESTERN,	W,		-1,		200
		MSFC_MP5K_Woodland,	W,		-1,		200
		MSFC_MP5K_SURPAT_TAN,	W,		-1,		200
		MSFC_MP5K_ORANGE,	W,		-1,		200
		MSFC_MP5K_RED,	W,		-1,		200
		MSFC_MP5K_DARK,	W,		-1,		200
		MSFC_MP5K_MATRIX,	W,		-1,		200
		MSFC_MP5K_REDBLACKWHITE,	W,		-1,		200
		MSFC_MP5K_Honeycomb,	W,		-1,		200
		MSFC_MP5K_STAR,	W,		-1,		200
		MSFC_AKS74U_WHITE,	W,		-1,		200
		MSFC_AKS74U_ATACS_AU,	W,		-1,		200
		MSFC_AKS74U_ATACS_FG,	W,		-1,		200
		MSFC_AKS74U_BLUE,	W,		-1,		200
		MSFC_AKS74U_EMR,	W,		-1,		200
		MSFC_AKS74U_Flecktarn,	W,		-1,		200
		MSFC_AKS74U_HEX,	W,		-1,		200
		MSFC_AKS74U_MARPAT_WD,	W,		-1,		200
		MSFC_AKS74U_MULTICAM,	W,		-1,		200
		MSFC_AKS74U_MULTICAM_BLACK,	W,		-1,		200
		MSFC_AKS74U_MULTICAM_TROPIC,	W,		-1,		200
		MSFC_AKS74U_SNAKE,	W,		-1,		200
		MSFC_AKS74U_SNAKE_GREEN,	W,		-1,		200
		MSFC_AKS74U_SURPAT,	W,		-1,		200
		MSFC_AKS74U_VIPER_WESTERN,	W,		-1,		200
		MSFC_AKS74U_Woodland,	W,		-1,		200
		MSFC_AKS74U_SURPAT_TAN,	W,		-1,		200
		MSFC_AKS74U_ORANGE,	W,		-1,		200
		MSFC_AKS74U_RED,	W,		-1,		200
		MSFC_AKS74U_DARK,	W,		-1,		200
		MSFC_AKS74U_MATRIX,	W,		-1,		200
		MSFC_AKS74U_REDBLACKWHITE,	W,		-1,		200
		MSFC_AKS74U_Honeycomb,	W,		-1,		200
		MSFC_AKS74U_STAR,	W,		-1,		200
		MSFC_SKS_WHITE,	W,		-1,		300
		MSFC_SKS_ATACS_AU,	W,		-1,		300
		MSFC_SKS_ATACS_FG,	W,		-1,		300
		MSFC_SKS_BLUE,	W,		-1,		300
		MSFC_SKS_EMR,	W,		-1,		300
		MSFC_SKS_Flecktarn,	W,		-1,		300
		MSFC_SKS_HEX,	W,		-1,		300
		MSFC_SKS_MARPAT_WD,	W,		-1,		300
		MSFC_SKS_MULTICAM,	W,		-1,		300
		MSFC_SKS_MULTICAM_BLACK,	W,		-1,		300
		MSFC_SKS_MULTICAM_TROPIC,	W,		-1,		300
		MSFC_SKS_SNAKE,	W,		-1,		300
		MSFC_SKS_SNAKE_GREEN,	W,		-1,		300
		MSFC_SKS_SURPAT,	W,		-1,		300
		MSFC_SKS_VIPER_WESTERN,	W,		-1,		300
		MSFC_SKS_Woodland,	W,		-1,		300
		MSFC_SKS_SURPAT_TAN,	W,		-1,		300
		MSFC_SKS_ORANGE,	W,		-1,		300
		MSFC_SKS_RED,	W,		-1,		300
		MSFC_SKS_DARK,	W,		-1,		300
		MSFC_SKS_MATRIX,	W,		-1,		300
		MSFC_SKS_REDBLACKWHITE,	W,		-1,		300
		MSFC_SKS_Honeycomb,	W,		-1,		300
		MSFC_SKS_STAR,	W,		-1,		300
		MSFC_Mosin9130_WHITE,	W,		-1,		400
		MSFC_Mosin9130_ATACS_AU,	W,		-1,		400
		MSFC_Mosin9130_ATACS_FG,	W,		-1,		400
		MSFC_Mosin9130_BLUE,	W,		-1,		400
		MSFC_Mosin9130_EMR,	W,		-1,		400
		MSFC_Mosin9130_Flecktarn,	W,		-1,		400
		MSFC_Mosin9130_HEX,	W,		-1,		400
		MSFC_Mosin9130_MARPAT_WD,	W,		-1,		400
		MSFC_Mosin9130_MULTICAM,	W,		-1,		400
		MSFC_Mosin9130_MULTICAM_BLACK,	W,		-1,		400
		MSFC_Mosin9130_MULTICAM_TROPIC,	W,		-1,		400
		MSFC_Mosin9130_SNAKE,	W,		-1,		400
		MSFC_Mosin9130_SNAKE_GREEN,	W,		-1,		400
		MSFC_Mosin9130_SURPAT,	W,		-1,		400
		MSFC_Mosin9130_VIPER_WESTERN,	W,		-1,		400
		MSFC_Mosin9130_Woodland,	W,		-1,		400
		MSFC_Mosin9130_SURPAT_TAN,	W,		-1,		400
		MSFC_Mosin9130_ORANGE,	W,		-1,		400
		MSFC_Mosin9130_RED,	W,		-1,		400
		MSFC_Mosin9130_DARK,	W,		-1,		400
		MSFC_Mosin9130_MATRIX,	W,		-1,		400
		MSFC_Mosin9130_REDBLACKWHITE,	W,		-1,		400
		MSFC_Mosin9130_Honeycomb,	W,		-1,		400
		MSFC_Mosin9130_STAR,	W,		-1,		400
		MSFC_SawedoffMosin9130_WHITE,	W,		-1,		350
		MSFC_SawedoffMosin9130_ATACS_AU,	W,		-1,		350
		MSFC_SawedoffMosin9130_ATACS_FG,	W,		-1,		350
		MSFC_SawedoffMosin9130_BLUE,	W,		-1,		350
		MSFC_SawedoffMosin9130_EMR,	W,		-1,		350
		MSFC_SawedoffMosin9130_Flecktarn,	W,		-1,		350
		MSFC_SawedoffMosin9130_HEX,	W,		-1,		350
		MSFC_SawedoffMosin9130_MARPAT_WD,	W,		-1,		350
		MSFC_SawedoffMosin9130_MULTICAM,	W,		-1,		350
		MSFC_SawedoffMosin9130_MULTICAM_BLACK,	W,		-1,		350
		MSFC_SawedoffMosin9130_MULTICAM_TROPIC,	W,		-1,		350
		MSFC_SawedoffMosin9130_SNAKE,	W,		-1,		350
		MSFC_SawedoffMosin9130_SNAKE_GREEN,	W,		-1,		350
		MSFC_SawedoffMosin9130_SURPAT,	W,		-1,		350
		MSFC_SawedoffMosin9130_VIPER_WESTERN,	W,		-1,		350
		MSFC_SawedoffMosin9130_Woodland,	W,		-1,		350
		MSFC_SawedoffMosin9130_SURPAT_TAN,	W,		-1,		350
		MSFC_SawedoffMosin9130_ORANGE,	W,		-1,		350
		MSFC_SawedoffMosin9130_RED,	W,		-1,		350
		MSFC_SawedoffMosin9130_DARK,	W,		-1,		350
		MSFC_SawedoffMosin9130_MATRIX,	W,		-1,		350
		MSFC_SawedoffMosin9130_REDBLACKWHITE,	W,		-1,		350
		MSFC_SawedoffMosin9130_Honeycomb,	W,		-1,		350
		MSFC_SawedoffMosin9130_STAR,	W,		-1,		350
		MSFC_SVD_WHITE,	W,		-1,		400
		MSFC_SVD_ATACS_AU,	W,		-1,		400
		MSFC_SVD_ATACS_FG,	W,		-1,		400
		MSFC_SVD_BLUE,	W,		-1,		400
		MSFC_SVD_EMR,	W,		-1,		400
		MSFC_SVD_Flecktarn,	W,		-1,		400
		MSFC_SVD_HEX,	W,		-1,		400
		MSFC_SVD_MARPAT_WD,	W,		-1,		400
		MSFC_SVD_MULTICAM,	W,		-1,		400
		MSFC_SVD_MULTICAM_BLACK,	W,		-1,		400
		MSFC_SVD_MULTICAM_TROPIC,	W,		-1,		400
		MSFC_SVD_SNAKE,	W,		-1,		400
		MSFC_SVD_SNAKE_GREEN,	W,		-1,		400
		MSFC_SVD_SURPAT,	W,		-1,		400
		MSFC_SVD_VIPER_WESTERN,	W,		-1,		400
		MSFC_SVD_Woodland,	W,		-1,		400
		MSFC_SVD_SURPAT_TAN,	W,		-1,		400
		MSFC_SVD_ORANGE,	W,		-1,		400
		MSFC_SVD_RED,	W,		-1,		400
		MSFC_SVD_DARK,	W,		-1,		400
		MSFC_SVD_MATRIX,	W,		-1,		400
		MSFC_SVD_REDBLACKWHITE,	W,		-1,		400
		MSFC_SVD_Honeycomb,	W,		-1,		400
		MSFC_SVD_STAR,	W,		-1,		400
		//MSFC_SCOUT_WHITE,	W,		-1,		300
		//MSFC_SCOUT_ATACS_AU,	W,		-1,		300
		//MSFC_SCOUT_ATACS_FG,	W,		-1,		300
		//MSFC_SCOUT_BLUE,	W,		-1,		300
		//MSFC_SCOUT_EMR,	W,		-1,		300
		//MSFC_SCOUT_Flecktarn,	W,		-1,		300
		//MSFC_SCOUT_HEX,	W,		-1,		300
		//MSFC_SCOUT_MARPAT_WD,	W,		-1,		300
		//MSFC_SCOUT_MULTICAM,	W,		-1,		300
		//MSFC_SCOUT_MULTICAM_BLACK,	W,		-1,		300
		//MSFC_SCOUT_MULTICAM_TROPIC,	W,		-1,		300
		//MSFC_SCOUT_SNAKE,	W,		-1,		300
		//MSFC_SCOUT_SNAKE_GREEN,	W,		-1,		300
		//MSFC_SCOUT_SURPAT,	W,		-1,		300
		//MSFC_SCOUT_VIPER_WESTERN,	W,		-1,		300
		//MSFC_SCOUT_Woodland,	W,		-1,		300
		//MSFC_SCOUT_SURPAT_TAN,	W,		-1,		300
		//MSFC_SCOUT_ORANGE,	W,		-1,		300
		//MSFC_SCOUT_RED,	W,		-1,		300
		//MSFC_SCOUT_DARK,	W,		-1,		300
		//MSFC_SCOUT_MATRIX,	W,		-1,		300
		//MSFC_SCOUT_REDBLACKWHITE,	W,		-1,		300
		//MSFC_SCOUT_Honeycomb,	W,		-1,		300
		//MSFC_SCOUT_STAR,	W,		-1,		300
		MSFC_Winchester70_WHITE,	W,		-1,		200
		MSFC_Winchester70_ATACS_AU,	W,		-1,		200
		MSFC_Winchester70_ATACS_FG,	W,		-1,		200
		MSFC_Winchester70_BLUE,	W,		-1,		200
		MSFC_Winchester70_EMR,	W,		-1,		200
		MSFC_Winchester70_Flecktarn,	W,		-1,		200
		MSFC_Winchester70_HEX,	W,		-1,		200
		MSFC_Winchester70_MARPAT_WD,	W,		-1,		200
		MSFC_Winchester70_MULTICAM,	W,		-1,		200
		MSFC_Winchester70_MULTICAM_BLACK,	W,		-1,		200
		MSFC_Winchester70_MULTICAM_TROPIC,	W,		-1,		200
		MSFC_Winchester70_SNAKE,	W,		-1,		200
		MSFC_Winchester70_SNAKE_GREEN,	W,		-1,		200
		MSFC_Winchester70_SURPAT,	W,		-1,		200
		MSFC_Winchester70_VIPER_WESTERN,	W,		-1,		200
		MSFC_Winchester70_Woodland,	W,		-1,		200
		MSFC_Winchester70_SURPAT_TAN,	W,		-1,		200
		MSFC_Winchester70_ORANGE,	W,		-1,		200
		MSFC_Winchester70_RED,	W,		-1,		200
		MSFC_Winchester70_DARK,	W,		-1,		200
		MSFC_Winchester70_MATRIX,	W,		-1,		200
		MSFC_Winchester70_REDBLACKWHITE,	W,		-1,		200
		MSFC_Winchester70_Honeycomb,	W,		-1,		200
		MSFC_Winchester70_STAR,	W,		-1,		200
		MSFC_CZ527_WHITE,	W,		-1,		200
		MSFC_CZ527_ATACS_AU,	W,		-1,		200
		MSFC_CZ527_ATACS_FG,	W,		-1,		200
		MSFC_CZ527_BLUE,	W,		-1,		200
		MSFC_CZ527_EMR,	W,		-1,		200
		MSFC_CZ527_Flecktarn,	W,		-1,		200
		MSFC_CZ527_HEX,	W,		-1,		200
		MSFC_CZ527_MARPAT_WD,	W,		-1,		200
		MSFC_CZ527_MULTICAM,	W,		-1,		200
		MSFC_CZ527_MULTICAM_BLACK,	W,		-1,		200
		MSFC_CZ527_MULTICAM_TROPIC,	W,		-1,		200
		MSFC_CZ527_SNAKE,	W,		-1,		200
		MSFC_CZ527_SNAKE_GREEN,	W,		-1,		200
		MSFC_CZ527_SURPAT,	W,		-1,		200
		MSFC_CZ527_VIPER_WESTERN,	W,		-1,		200
		MSFC_CZ527_Woodland,	W,		-1,		200
		MSFC_CZ527_SURPAT_TAN,	W,		-1,		200
		MSFC_CZ527_ORANGE,	W,		-1,		200
		MSFC_CZ527_RED,	W,		-1,		200
		MSFC_CZ527_DARK,	W,		-1,		200
		MSFC_CZ527_MATRIX,	W,		-1,		200
		MSFC_CZ527_REDBLACKWHITE,	W,		-1,		200
		MSFC_CZ527_Honeycomb,	W,		-1,		200
		MSFC_CZ527_STAR,	W,		-1,		200
		MSFC_SVD_Wooden,	W,		-1,		400
        MSFC_AKM_Kryptek_Banshee,	W,		-1,		300
        MSFC_SVD_Kryptek_Banshee,	W,		-1,		400
        MSFC_UMP_Kryptek_Banshee,	W,		-1,		200
        MSFC_M4A1_Kryptek_Banshee,	W,		-1,		350
        MSFC_AKM_Kryptek_Neptune,	W,		-1,		300
        MSFC_SVD_Kryptek_Neptune,	W,		-1,		400
        MSFC_UMP_Kryptek_Neptune,	W,		-1,		200
        MSFC_M4A1_Kryptek_Neptune,	W,		-1,		350
        MSFC_AKM_Kryptek_Typhon,	W,		-1,		300
        MSFC_SVD_Kryptek_Typhon,	W,		-1,		400
        MSFC_UMP_Kryptek_Typhon,	W,		-1,		200
        MSFC_M4A1_Kryptek_Typhon,	W,		-1,		350
        MSFC_AKM_Kryptek_Mandrake,	W,		-1,		300
        MSFC_SVD_Kryptek_Mandrake,	W,		-1,		400
        MSFC_UMP_Kryptek_Mandrake,	W,		-1,		200
        MSFC_M4A1_Kryptek_Mandrake,	W,		-1,		350
